tag,date,total_works,total_kudos,total_hits,total_words
Top Mel Medarda,2022-01-04,1,211,6101,810
Top Jinx (League of Legends),2022-01-04,1,429,16037,3924
Top Jayce (League of Legends),2022-01-04,10,21224,229586,46444
Top Ekko (League of Legends),2022-01-04,0,0,0,0
Top Caitlyn (League of Legends),2022-01-04,18,58134,850693,86998
Top Viktor (League of Legends),2022-01-03,8,10909,144146,32650
Top Vi (League of Legends),2022-01-03,11,8363,166645,35133
Top Vander (League of Legends),2022-01-03,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-03,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2022-01-03,3,1607,33482,10767
Top Mel Medarda,2022-01-03,1,211,6101,810
Top Jinx (League of Legends),2022-01-03,1,429,16037,3924
Top Jayce (League of Legends),2022-01-03,10,21224,229586,46444
Top Ekko (League of Legends),2022-01-03,0,0,0,0
Top Caitlyn (League of Legends),2022-01-03,18,58134,850693,86998
Top Viktor (League of Legends),2022-01-02,8,10909,144146,32650
Top Vi (League of Legends),2022-01-02,10,7252,143395,27959
Top Vander (League of Legends),2022-01-02,0,0,0,0
Top Silco (Arcane: League of Legends),2022-01-02,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2022-01-02,2,496,10232,3593
Top Mel Medarda,2022-01-02,1,211,6101,810
Top Jinx (League of Legends),2022-01-02,1,429,16037,3924
Top Jayce (League of Legends),2022-01-02,10,21224,229586,46444
Top Ekko (League of Legends),2022-01-02,0,0,0,0
Top Caitlyn (League of Legends),2022-01-02,18,58134,850693,86998
Top Viktor (League of Legends),2021-12-31,8,10909,144146,32650
Top Vi (League of Legends),2021-12-31,10,7252,143395,27959
Top Vander (League of Legends),2021-12-31,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-31,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2021-12-31,2,496,10232,3593
Top Mel Medarda,2021-12-31,1,211,6101,810
Top Jinx (League of Legends),2021-12-31,1,429,16037,3924
Top Jayce (League of Legends),2021-12-31,10,21224,229586,46444
Top Ekko (League of Legends),2021-12-31,0,0,0,0
Top Caitlyn (League of Legends),2021-12-31,17,58071,848770,85437
Top Viktor (League of Legends),2021-12-29,7,9923,132543,30870
Top Vi (League of Legends),2021-12-29,10,7252,143395,27959
Top Vander (League of Legends),2021-12-29,0,0,0,0
Top Silco (Arcane: League of Legends),2021-12-29,2,868,14608,2614
Top Sevika (Arcane: League of Legends),2021-12-29,2,496,10232,3593
Top Mel Medarda,2021-12-29,1,211,6101,810
